name,method,config,weights,fps,resolution,hardware,dataset,mIoU
FCN_HRNetV2p-W18-Small,hrnet,configs/hrnet/fcn_hr18s_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr18s_512x512_80k_ade20k/fcn_hr18s_512x512_80k_ade20k_20200614_144345-77fc814a.pth,38.654812524159254,"(512,512)",V100,ADE20K,31.38
MaskFormer_R-101-D32,maskformer,configs/maskformer/maskformer_r101-d32_8xb2-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/maskformer/maskformer_r101-d32_8xb2-160k_ade20k-512x512/maskformer_r101-d32_8xb2-160k_ade20k-512x512_20221031_223053-c8e0931d.pth,34.904013961605585,"(512,512)",V100,ADE20K,45.11
Segformer_MIT-B2,segformer,configs/segformer/segformer_mit-b2_8xb2-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/segformer/segformer_mit-b2_512x512_160k_ade20k/segformer_mit-b2_512x512_160k_ade20k_20210726_112103-cbd414ac.pth,30.883261272390364,"(512,512)",V100,ADE20K,45.58
UPerNet_DeiT-S,vit,configs/vit/vit_deit-s16_upernet_8xb2-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/vit/upernet_deit-s16_512x512_80k_ade20k/upernet_deit-s16_512x512_80k_ade20k_20210624_095228-afc93ec2.pth,29.850746268656717,"(512,512)",V100,ADE20K,42.96
FPN_SVT-S,twins,configs/twins/twins_svt-s_fpn_fpnhead_8xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/twins/twins_svt-s_fpn_fpnhead_8x4_512x512_80k_ade20k/twins_svt-s_fpn_fpnhead_8x4_512x512_80k_ade20k_20211130_141006-0a0d3317.pth,29.78850163836759,"(512,512)",V100,ADE20K,44.47
UPerNet_DeiT-S,vit,configs/vit/vit_deit-s16_upernet_8xb2-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/vit/upernet_deit-s16_512x512_160k_ade20k/upernet_deit-s16_512x512_160k_ade20k_20210621_160903-5110d916.pth,29.188558085230593,"(512,512)",V100,ADE20K,42.87
OCRNet_HRNetV2p-W18-Small,ocrnet,configs/ocrnet/ocrnet_hr18s_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/ocrnet/ocrnet_hr18s_512x512_80k_ade20k/ocrnet_hr18s_512x512_80k_ade20k_20200615_055600-e80b62af.pth,28.977108084613157,"(512,512)",V100,ADE20K,35.06
Segmenter_ViT-S_16,segmenter,configs/segmenter/segmenter_vit-s_fcn_8xb1-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/segmenter/segmenter_vit-s_linear_8x1_512x512_160k_ade20k/segmenter_vit-s_linear_8x1_512x512_160k_ade20k_20220105_151713-39658c46.pth,28.066236317709794,"(512,512)",V100,ADE20K,45.75
Segmenter_ViT-T_16,segmenter,configs/segmenter/segmenter_vit-t_mask_8xb1-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/segmenter/segmenter_vit-t_mask_8x1_512x512_160k_ade20k/segmenter_vit-t_mask_8x1_512x512_160k_ade20k_20220105_151706-ffcf7509.pth,27.979854504756574,"(512,512)",V100,ADE20K,39.99
FPN_PCPVT-S,twins,configs/twins/twins_pcpvt-s_fpn_fpnhead_8xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/twins/twins_pcpvt-s_fpn_fpnhead_8x4_512x512_80k_ade20k/twins_pcpvt-s_fpn_fpnhead_8x4_512x512_80k_ade20k_20211201_204132-41acd132.pth,27.15177844148792,"(512,512)",V100,ADE20K,43.26
MaskFormer_Swin-S,maskformer,configs/maskformer/maskformer_swin-s_upernet_8xb2-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/maskformer/maskformer_swin-s_upernet_8xb2-160k_ade20k-512x512/maskformer_swin-s_upernet_8xb2-160k_ade20k-512x512_20221115_114710-5ab67e58.pth,26.98327037236913,"(512,512)",V100,ADE20K,49.36
Mask2Former_R-50-D32,mask2former,configs/mask2former/mask2former_r50_8xb2-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/mask2former/mask2former_r50_8xb2-160k_ade20k-512x512/mask2former_r50_8xb2-160k_ade20k-512x512_20221204_000055-4c62652d.pth,26.588673225206062,"(512,512)",V100,ADE20K,47.87
Segmenter_ViT-S_16,segmenter,configs/segmenter/segmenter_vit-s_mask_8xb1-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/segmenter/segmenter_vit-s_mask_8x1_512x512_160k_ade20k/segmenter_vit-s_mask_8x1_512x512_160k_ade20k_20220105_151706-511bb103.pth,24.8015873015873,"(512,512)",V100,ADE20K,46.19
Mask2Former_Swin-T,mask2former,configs/mask2former/mask2former_swin-t_8xb2-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/mask2former/mask2former_swin-t_8xb2-160k_ade20k-512x512/mask2former_swin-t_8xb2-160k_ade20k-512x512_20221203_234230-4341520b.pth,23.820867079561697,"(512,512)",V100,ADE20K,48.66
PSPNet_R-50-D8,pspnet,configs/pspnet/pspnet_r50-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r50-d8_512x512_80k_ade20k/pspnet_r50-d8_512x512_80k_ade20k_20200615_014128-15a8b914.pth,23.529411764705884,"(512,512)",V100,ADE20K,41.13
FCN_R-50-D8,fcn,configs/fcn/fcn_r50-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/fcn/fcn_r50-d8_512x512_80k_ade20k/fcn_r50-d8_512x512_80k_ade20k_20200614_144016-f8ac5082.pth,23.49072116513977,"(512,512)",V100,ADE20K,35.94
FPN_PoolFormer-S12,poolformer,configs/poolformer/fpn_poolformer_s12_8xb4-40k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/poolformer/fpn_poolformer_s12_8x4_512x512_40k_ade20k/fpn_poolformer_s12_8x4_512x512_40k_ade20k_20220501_115154-b5aa2f49.pth,23.4796900680911,"(512,512)",V100,ADE20K,36.68
UPerNet_R-50,upernet,configs/upernet/upernet_r50_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/upernet/upernet_r50_512x512_80k_ade20k/upernet_r50_512x512_80k_ade20k_20200614_144127-ecc8377b.pth,23.39728591483388,"(512,512)",V100,ADE20K,40.7
GCNet_R-50-D8,gcnet,configs/gcnet/gcnet_r50-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/gcnet/gcnet_r50-d8_512x512_80k_ade20k/gcnet_r50-d8_512x512_80k_ade20k_20200614_185146-91a6da41.pth,23.38087444470423,"(512,512)",V100,ADE20K,41.47
Mask2Former_R-101-D32,mask2former,configs/mask2former/mask2former_r101_8xb2-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/mask2former/mask2former_r101_8xb2-160k_ade20k-512x512/mask2former_r101_8xb2-160k_ade20k-512x512_20221203_233905-b1169bc0.pth,22.96738631143776,"(512,512)",V100,ADE20K,48.6
EncNet_R-50-D8,encnet,configs/encnet/encnet_r50-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/encnet/encnet_r50-d8_512x512_80k_ade20k/encnet_r50-d8_512x512_80k_ade20k_20200622_042412-44b46b04.pth,22.81021897810219,"(512,512)",V100,ADE20K,39.53
FCN_HRNetV2p-W18,hrnet,configs/hrnet/fcn_hr18_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr18_512x512_80k_ade20k/fcn_hr18_512x512_80k_ade20k_20210827_114910-6c9382c0.pth,22.568269013766642,"(512,512)",V100,ADE20K,36.27
ISANet_R-50-D8,isanet,configs/isanet/isanet_r50-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/isanet/isanet_r50-d8_512x512_80k_ade20k/isanet_r50-d8_512x512_80k_ade20k_20210903_124557-6ed83a0c.pth,22.547914317925592,"(512,512)",V100,ADE20K,41.12
ISANet_R-50-D8,isanet,configs/isanet/isanet_r50-d8_4xb4-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/isanet/isanet_r50-d8_512x512_160k_ade20k/isanet_r50-d8_512x512_160k_ade20k_20210903_104850-f752d0a3.pth,22.547914317925592,"(512,512)",V100,ADE20K,42.59
Segformer_MIT-B3,segformer,configs/segformer/segformer_mit-b3_8xb2-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/segformer/segformer_mit-b3_512x512_160k_ade20k/segformer_mit-b3_512x512_160k_ade20k_20210726_081410-962b98d2.pth,22.10921954455008,"(512,512)",V100,ADE20K,47.82
NonLocalNet_R-50-D8,nonlocal_net,configs/nonlocal_net/nonlocal_r50-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/nonlocal_net/nonlocal_r50-d8_512x512_80k_ade20k/nonlocal_r50-d8_512x512_80k_ade20k_20200615_015801-5ae0aa33.pth,21.372088053002777,"(512,512)",V100,ADE20K,40.75
FCN_HRNetV2p-W48,hrnet,configs/hrnet/fcn_hr48_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/hrnet/fcn_hr48_512x512_80k_ade20k/fcn_hr48_512x512_80k_ade20k_20200614_193946-7ba5258d.pth,21.231422505307854,"(512,512)",V100,ADE20K,41.9
DANet_R-50-D8,danet,configs/danet/danet_r50-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/danet/danet_r50-d8_512x512_80k_ade20k/danet_r50-d8_512x512_80k_ade20k_20200615_015125-edb18e08.pth,21.1999152003392,"(512,512)",V100,ADE20K,41.66
FPN_SVT-B,twins,configs/twins/twins_svt-b_fpn_fpnhead_8xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/twins/twins_svt-b_fpn_fpnhead_8x4_512x512_80k_ade20k/twins_svt-b_fpn_fpnhead_8x4_512x512_80k_ade20k_20211201_113849-88b2907c.pth,21.101498206372653,"(512,512)",V100,ADE20K,46.77
UPerNet_Swin-T,swin,configs/swin/swin-tiny-patch4-window7-in1k-pre_upernet_8xb2-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/swin/upernet_swin_tiny_patch4_window7_512x512_160k_ade20k_pretrain_224x224_1K/upernet_swin_tiny_patch4_window7_512x512_160k_ade20k_pretrain_224x224_1K_20210531_112542-e380ad3e.pth,21.06149957877001,"(512,512)",V100,ADE20K,44.41
ANN_R-50-D8,ann,configs/ann/ann_r50-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/ann/ann_r50-d8_512x512_80k_ade20k/ann_r50-d8_512x512_80k_ade20k_20200615_014818-26f75e11.pth,21.008403361344538,"(512,512)",V100,ADE20K,41.01
DeepLabV3+_R-50-D8,deeplabv3plus,configs/deeplabv3plus/deeplabv3plus_r50-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3plus/deeplabv3plus_r50-d8_512x512_80k_ade20k/deeplabv3plus_r50-d8_512x512_80k_ade20k_20200614_185028-bf1400d8.pth,21.008403361344538,"(512,512)",V100,ADE20K,42.72
DMNet_R-50-D8,dmnet,configs/dmnet/dmnet_r50-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/dmnet/dmnet_r50-d8_512x512_80k_ade20k/dmnet_r50-d8_512x512_80k_ade20k_20201215_144744-f89092a6.pth,20.95118374188142,"(512,512)",V100,ADE20K,42.37
CCNet_R-50-D8,ccnet,configs/ccnet/ccnet_r50-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/ccnet/ccnet_r50-d8_512x512_80k_ade20k/ccnet_r50-d8_512x512_80k_ade20k_20200615_014848-aa37f61e.pth,20.889910173386255,"(512,512)",V100,ADE20K,41.78
DNLNet_R-50-D8,dnlnet,configs/dnlnet/dnl_r50-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/dnlnet/dnl_r50-d8_512x512_80k_ade20k/dnl_r50-d8_512x512_80k_ade20k_20200826_183354-1cf6e0c1.pth,20.66115702479339,"(512,512)",V100,ADE20K,41.76
UPerNet_R-101,upernet,configs/upernet/upernet_r101_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/upernet/upernet_r101_512x512_80k_ade20k/upernet_r101_512x512_80k_ade20k_20200614_185117-32e4db94.pth,20.341741253051264,"(512,512)",V100,ADE20K,42.91
KNet_R-50-D8,knet,configs/knet/knet-s3_r50-d8_pspnet_8xb2-adamw-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/knet/knet_s3_pspnet_r50-d8_8x2_512x512_adamw_80k_ade20k/knet_s3_pspnet_r50-d8_8x2_512x512_adamw_80k_ade20k_20220228_054634-d2c72240.pth,20.04008016032064,"(512,512)",V100,ADE20K,44.18
UPerNet_ConvNeXt-T,convnext,configs/convnext/convnext-tiny_upernet_8xb2-amp-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/convnext/upernet_convnext_tiny_fp16_512x512_160k_ade20k/upernet_convnext_tiny_fp16_512x512_160k_ade20k_20220227_124553-cad485de.pth,19.90049751243781,"(512,512)",V100,ADE20K,46.11
Mask2Former_Swin-S,mask2former,configs/mask2former/mask2former_swin-s_8xb2-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/mask2former/mask2former_swin-s_8xb2-160k_ade20k-512x512/mask2former_swin-s_8xb2-160k_ade20k-512x512_20221204_143905-ab263c11.pth,19.688915140775745,"(512,512)",V100,ADE20K,51.24
FPN_PCPVT-B,twins,configs/twins/twins_pcpvt-b_fpn_fpnhead_8xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/twins/twins_pcpvt-b_fpn_fpnhead_8x4_512x512_80k_ade20k/twins_pcpvt-b_fpn_fpnhead_8x4_512x512_80k_ade20k_20211130_141019-d396db72.pth,19.66955153422502,"(512,512)",V100,ADE20K,45.66
APCNet_R-50-D8,apcnet,configs/apcnet/apcnet_r50-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/apcnet/apcnet_r50-d8_512x512_80k_ade20k/apcnet_r50-d8_512x512_80k_ade20k_20201214_115705-a8626293.pth,19.611688566385563,"(512,512)",V100,ADE20K,42.2
KNet_R-50-D8,knet,configs/knet/knet-s3_r50-d8_fcn_8xb2-adamw-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/knet/knet_s3_fcn_r50-d8_8x2_512x512_adamw_80k_ade20k/knet_s3_fcn_r50-d8_8x2_512x512_adamw_80k_ade20k_20220228_043751-abcab920.pth,19.238168526356294,"(512,512)",V100,ADE20K,43.6
OCRNet_HRNetV2p-W18,ocrnet,configs/ocrnet/ocrnet_hr18_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/ocrnet/ocrnet_hr18_512x512_80k_ade20k/ocrnet_hr18_512x512_80k_ade20k_20200615_053157-d173d83b.pth,18.92863903085368,"(512,512)",V100,ADE20K,37.79
PSANet_R-50-D8,psanet,configs/psanet/psanet_r50-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/psanet/psanet_r50-d8_512x512_80k_ade20k/psanet_r50-d8_512x512_80k_ade20k_20200614_144141-835e4b97.pth,18.910741301059,"(512,512)",V100,ADE20K,41.14
FPN_SVT-L,twins,configs/twins/twins_svt-l_fpn_fpnhead_8xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/twins/twins_svt-l_fpn_fpnhead_8x4_512x512_80k_ade20k/twins_svt-l_fpn_fpnhead_8x4_512x512_80k_ade20k_20211130_141005-1d59bee2.pth,17.7999288002848,"(512,512)",V100,ADE20K,46.55
PointRend_R-50,point_rend,configs/point_rend/pointrend_r50_4xb4-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/point_rend/pointrend_r50_512x512_160k_ade20k/pointrend_r50_512x512_160k_ade20k_20200807_232644-ac3febf2.pth,17.310022503029252,"(512,512)",V100,ADE20K,37.64
KNet_R-50-D8,knet,configs/knet/knet-s3_r50-d8_upernet_8xb2-adamw-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/knet/knet_s3_upernet_r50-d8_8x2_512x512_adamw_80k_ade20k/knet_s3_upernet_r50-d8_8x2_512x512_adamw_80k_ade20k_20220304_125657-215753b0.pth,17.10863986313088,"(512,512)",V100,ADE20K,43.45
OCRNet_HRNetV2p-W48,ocrnet,configs/ocrnet/ocrnet_hr48_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/ocrnet/ocrnet_hr48_512x512_80k_ade20k/ocrnet_hr48_512x512_80k_ade20k_20200615_021518-d168c2d1.pth,16.989466530750935,"(512,512)",V100,ADE20K,43.0
FPN_PoolFormer-S24,poolformer,configs/poolformer/fpn_poolformer_s24_8xb4-40k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/poolformer/fpn_poolformer_s24_8x4_512x512_40k_ade20k/fpn_poolformer_s24_8x4_512x512_40k_ade20k_20220503_222049-394a7cf7.pth,15.740594994490792,"(512,512)",V100,ADE20K,40.12
KNet_Swin-T,knet,configs/knet/knet-s3_swin-t_upernet_8xb2-adamw-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/knet/knet_s3_upernet_swin-t_8x2_512x512_adamw_80k_ade20k/knet_s3_upernet_swin-t_8x2_512x512_adamw_80k_ade20k_20220303_133059-7545e1dc.pth,15.55935895441108,"(512,512)",V100,ADE20K,45.84
PointRend_R-101,point_rend,configs/point_rend/pointrend_r101_4xb4-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/point_rend/pointrend_r101_512x512_160k_ade20k/pointrend_r101_512x512_160k_ade20k_20200808_030852-8834902a.pth,15.499070055796652,"(512,512)",V100,ADE20K,40.02
Segformer_MIT-B4,segformer,configs/segformer/segformer_mit-b4_8xb2-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/segformer/segformer_mit-b4_512x512_160k_ade20k/segformer_mit-b4_512x512_160k_ade20k_20210728_183055-7f509d7d.pth,15.451174289245984,"(512,512)",V100,ADE20K,48.46
PSPNet_R-101-D8,pspnet,configs/pspnet/pspnet_r101-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/pspnet/pspnet_r101-d8_512x512_80k_ade20k/pspnet_r101-d8_512x512_80k_ade20k_20200614_031423-b6e782f0.pth,15.299877600979192,"(512,512)",V100,ADE20K,43.57
GCNet_R-101-D8,gcnet,configs/gcnet/gcnet_r101-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/gcnet/gcnet_r101-d8_512x512_80k_ade20k/gcnet_r101-d8_512x512_80k_ade20k_20200615_020811-c3fcb6dd.pth,15.199878400972791,"(512,512)",V100,ADE20K,42.82
UPerNet_ConvNeXt-S,convnext,configs/convnext/convnext-small_upernet_8xb2-amp-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/convnext/upernet_convnext_small_fp16_512x512_160k_ade20k/upernet_convnext_small_fp16_512x512_160k_ade20k_20220227_131208-1b1e394f.pth,15.17911353976928,"(512,512)",V100,ADE20K,48.56
UPerNet_SVT-S,twins,configs/twins/twins_svt-s_uperhead_8xb2-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/twins/twins_svt-s_uperhead_8x2_512x512_160k_ade20k/twins_svt-s_uperhead_8x2_512x512_160k_ade20k_20211130_141005-e48a2d94.pth,15.089784216085711,"(512,512)",V100,ADE20K,46.08
EncNet_R-101-D8,encnet,configs/encnet/encnet_r101-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/encnet/encnet_r101-d8_512x512_80k_ade20k/encnet_r101-d8_512x512_80k_ade20k_20200622_101128-dd35e237.pth,14.869888475836431,"(512,512)",V100,ADE20K,42.11
FCN_R-101-D8,fcn,configs/fcn/fcn_r101-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/fcn/fcn_r101-d8_512x512_80k_ade20k/fcn_r101-d8_512x512_80k_ade20k_20200615_014143-bc1809f7.pth,14.779781259237364,"(512,512)",V100,ADE20K,39.61
DeepLabV3_R-50-D8,deeplabv3,configs/deeplabv3/deeplabv3_r50-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3/deeplabv3_r50-d8_512x512_80k_ade20k/deeplabv3_r50-d8_512x512_80k_ade20k_20200614_185028-0bb3f844.pth,14.760147601476016,"(512,512)",V100,ADE20K,42.42
UPerNet_Swin-S,swin,configs/swin/swin-small-patch4-window7-in1k-pre_upernet_8xb2-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/swin/upernet_swin_small_patch4_window7_512x512_160k_ade20k_pretrain_224x224_1K/upernet_swin_small_patch4_window7_512x512_160k_ade20k_pretrain_224x224_1K_20210526_192015-ee2fff1c.pth,14.72103636095981,"(512,512)",V100,ADE20K,47.72
UPerNet_ConvNeXt-B,convnext,configs/convnext/convnext-base_upernet_8xb2-amp-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/convnext/upernet_convnext_base_fp16_512x512_160k_ade20k/upernet_convnext_base_fp16_512x512_160k_ade20k_20220227_181227-02a24fc6.pth,14.40922190201729,"(512,512)",V100,ADE20K,48.71
FPN_PCPVT-L,twins,configs/twins/twins_pcpvt-l_fpn_fpnhead_8xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/twins/twins_pcpvt-l_fpn_fpnhead_8x4_512x512_80k_ade20k/twins_pcpvt-l_fpn_fpnhead_8x4_512x512_80k_ade20k_20211201_105226-bc6d61dc.pth,14.320492624946299,"(512,512)",V100,ADE20K,45.94
UPerNet_PCPVT-S,twins,configs/twins/twins_pcpvt-s_uperhead_8xb4-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/twins/twins_pcpvt-s_uperhead_8x4_512x512_160k_ade20k/twins_pcpvt-s_uperhead_8x4_512x512_160k_ade20k_20211201_233537-8e99c07a.pth,14.240956992309883,"(512,512)",V100,ADE20K,46.04
DANet_R-101-D8,danet,configs/danet/danet_r101-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/danet/danet_r101-d8_512x512_80k_ade20k/danet_r101-d8_512x512_80k_ade20k_20200615_015126-d0357c73.pth,14.180374361883155,"(512,512)",V100,ADE20K,43.64
DeepLabV3+_R-101-D8,deeplabv3plus,configs/deeplabv3plus/deeplabv3plus_r101-d8_4xb4-160k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/deeplabv3plus/deeplabv3plus_r101-d8_512x512_80k_ade20k/deeplabv3plus_r101-d8_512x512_80k_ade20k_20200615_014139-d5730af7.pth,14.16029453412631,"(512,512)",V100,ADE20K,44.6
ANN_R-101-D8,ann,configs/ann/ann_r101-d8_4xb4-80k_ade20k-512x512.py,https://download.openmmlab.com/mmsegmentation/v0.5/ann/ann_r101-d8_512x512_80k_ade20k/ann_r101-d8_512x512_80k_ade20k_20200615_014818-c0153543.pth,14.12030499858797,"(512,512)",V100,ADE20K,42.94
